Country,Year,TPopulation1July,PopGrowthRate,TFR,IMR,LEx,GDP_Growth,FDI_Value,Financial_Value,Malaria,Lower respiratory infections,Diarrhoeal diseases,HIV/AIDS,Maternal conditions,COVID-19,Diabetes mellitus,Hypertensive heart disease,Ischaemic heart disease,Meningitis,source,region,indicator,value
AFG,1957,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,247.968161787
AFG,1957,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,260.942245552
AFG,1957,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,272.898981235
AFG,1958,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,245.14457636
AFG,1958,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,269.493321655
AFG,1958,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,257.763954243
AFG,1959,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,265.825497342
AFG,1959,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,241.953989421
AFG,1959,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,254.679062117
AFG,1960,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,262.533475237
AFG,1960,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,251.231420055
AFG,1960,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,239.224773587
AFG,1961,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,259.42824605
AFG,1961,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,236.524868193
AFG,1961,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,248.392819481
AFG,1962,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,256.268003463
AFG,1962,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,245.391860525
AFG,1962,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,233.796776959
AFG,1963,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,242.459206749
AFG,1963,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,231.296457499
AFG,1963,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,253.308503118
AFG,1964,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,228.749698545
AFG,1964,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,239.728207041
AFG,1964,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,250.202111256
AFG,1965,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,247.1735726
AFG,1965,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,236.898702675
AFG,1965,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,226.357395068
AFG,1966,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,234.172117512
AFG,1966,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,244.237449108
AFG,1966,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,223.859407334
AFG,1967,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,231.44182053
AFG,1967,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,221.236221324
AFG,1967,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,241.011577177
AFG,1968,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,218.539038757
AFG,1968,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,237.966981086
AFG,1968,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,228.608262112
AFG,1969,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,215.986044772
AFG,1969,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,235.232887584
AFG,1969,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,225.811036366
AFG,1970,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,213.288607041
AFG,1970,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,232.14805178
AFG,1970,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,223.080680823
AFG,1971,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,210.47593474
AFG,1971,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,220.150228436
AFG,1971,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,229.099597975
AFG,1972,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,207.629788436
AFG,1972,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,217.088592728
AFG,1972,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,225.861907078
AFG,1973,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,204.645044915
AFG,1973,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,213.830100882
AFG,1973,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,222.700762699
AFG,1974,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,219.155814218
AFG,1974,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,201.666140952
AFG,1974,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,210.676451439
AFG,1975,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,215.735507948
AFG,1975,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,207.465127937
AFG,1975,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,198.470454066
AFG,1976,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,204.099977237
AFG,1976,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,212.087431875
AFG,1976,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,195.083499178
AFG,1977,,,,,,,,,,,,,,,,,,,WHO,,MDG_0000000001,191.739675419
