Country,Year,TPopulation1July,PopGrowthRate,TFR,IMR,LEx,GDP_Growth,FDI_Value,Financial_Value,Malaria,Lower respiratory infections,Diarrhoeal diseases,HIV/AIDS,Maternal conditions,COVID-19,Diabetes mellitus,Hypertensive heart disease,Ischaemic heart disease,Meningitis
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,107971000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,436793000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,5756934250.68177,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,75336000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,558483823474.543,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,453343000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,55203807358.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,1626888039386.35,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,6114361297.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,127238195732.066,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,75647771752.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,165104839254.605,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,580942327537.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,1218566026362.97,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,642967823184.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,13111905508.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,48071000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,197423000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,107971000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,436793000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,5756934250.68177,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,75336000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,558483823474.543,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,453343000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.212272868,55203807358.0,,,,,,,,,,
